 # He-Ba+ p-pots from DIM (no SO) using Fausto"s inputs, Angstoms, cm-1
 #        r            6p 1          6p 2          6p 3     6p4      6p5    6p6
   1.0000000       28465.836       28465.836       28504.317       28504.317       128098.23       128098.23    
   1.0340000       27590.836       27590.836       27629.317       27629.317       120860.92       120860.92    
   1.0680000       26749.119       26749.119       26787.601       26787.601       113941.28       113941.28    
   1.1020000       25940.036       25940.036       25978.518       25978.518       107332.17       107332.17    
   1.1360000       25162.938       25162.938       25201.421       25201.421       101026.44       101026.44    
   1.1700000       24417.176       24417.176       24455.660       24455.660       95016.970       95016.970    
   1.2040000       23702.100       23702.100       23740.585       23740.585       89296.613       89296.613    
   1.2380000       23017.062       23017.062       23055.547       23055.547       83858.233       83858.233    
   1.2720000       22361.412       22361.412       22399.898       22399.898       78694.693       78694.693    
   1.3060000       21734.501       21734.501       21772.989       21772.989       73798.854       73798.854    
   1.3400000       21135.680       21135.680       21174.169       21174.169       69163.578       69163.578    
   1.3740000       20564.300       20564.300       20602.790       20602.790       64781.729       64781.729    
   1.4080000       20019.711       20019.711       20058.203       20058.203       60646.169       60646.169    
   1.4420000       19501.265       19501.265       19539.759       19539.759       56749.758       56749.758    
   1.4760000       19008.313       19008.313       19046.808       19046.808       53085.361       53085.361    
   1.5100000       18540.204       18540.204       18578.702       18578.702       49645.840       49645.840    
   1.5440000       18096.291       18096.291       18134.791       18134.791       46424.055       46424.055    
   1.5780000       17675.923       17675.923       17714.425       17714.425       43412.871       43412.871    
   1.6120000       17278.452       17278.452       17316.957       17316.957       40605.149       40605.149    
   1.6460000       16903.228       16903.228       16941.737       16941.737       37993.751       37993.751    
   1.6800000       16549.603       16549.603       16588.115       16588.115       35571.540       35571.540    
   1.7140000       16216.926       16216.926       16255.443       16255.443       33331.379       33331.379    
   1.7480000       15904.549       15904.549       15943.071       15943.071       31266.129       31266.129    
   1.7820000       15611.823       15611.823       15650.350       15650.350       29368.653       29368.653    
   1.8160000       15338.098       15338.098       15376.632       15376.632       27631.813       27631.813    
   1.8500000       15082.725       15082.725       15121.266       15121.266       26048.471       26048.471    
   1.8840000       14845.055       14845.055       14883.604       14883.604       24611.491       24611.491    
   1.9180000       14624.438       14624.438       14662.997       14662.997       23313.734       23313.734    
   1.9520000       14420.226       14420.226       14458.795       14458.795       22148.062       22148.062    
   1.9860000       14231.768       14231.768       14270.350       14270.350       21107.339       21107.339    
   2.0200000       14058.417       14058.417       14097.011       14097.011       20184.426       20184.426    
   2.0540000       13899.522       13899.522       13938.131       13938.131       19372.186       19372.186    
   2.0880000       13754.436       13754.436       13793.060       13793.060       18663.480       18663.480    
   2.1220000       13622.508       13622.508       13661.148       13661.148       18051.171       18051.171    
   2.1560000       13503.090       13503.090       13541.747       13541.747       17528.121       17528.121    
   2.1900000       13395.534       13395.534       13434.208       13434.208       17087.191       17087.191    
   2.2240000       13299.191       13299.191       13337.881       13337.881       16721.242       16721.242    
   2.2580000       13213.413       13213.413       13252.117       13252.117       16423.138       16423.138    
   2.2920000       13137.551       13137.551       13176.267       13176.267       16185.738       16185.738    
   2.3260000       13070.956       13070.956       13109.682       13109.682       16001.905       16001.905    
   2.3600000       13012.980       13012.980       13051.713       13051.713       15864.501       15864.501    
   2.3940000       12962.973       12962.973       13001.710       13001.710       15766.389       15766.389    
   2.4280000       12920.285       12920.285       12959.025       12959.025       15700.430       15700.430    
   2.4620000       12884.268       12884.268       12923.008       12923.008       15659.480       15659.480    
   2.4960000       12854.262       12854.262       12893.001       12893.001       15635.958       15635.958    
   2.5300000       12829.606       12829.606       12868.344       12868.344       15622.096       15622.096    
   2.5640000       12809.687       12809.687       12848.424       12848.424       15612.700       15612.700    
   2.5980000       12793.928       12793.928       12832.665       12832.665       15604.372       15604.372    
   2.6320000       12781.784       12781.784       12820.521       12820.521       15595.031       15595.031    
   2.6660000       12772.755       12772.755       12811.492       12811.492       15583.708       15583.708    
   2.7000000       12766.385       12766.385       12805.122       12805.122       15570.080       15570.080    
   2.7340000       12762.265       12762.265       12801.004       12801.004       15554.238       15554.238    
   2.7680000       12760.040       12760.040       12798.780       12798.780       15536.485       15536.485    
   2.8020000       12759.397       12759.397       12798.139       12798.139       15517.174       15517.174    
   2.8360000       12760.065       12760.065       12798.809       12798.809       15496.643       15496.643    
   2.8700000       12761.815       12761.815       12800.562       12800.562       15475.161       15475.161    
   2.9040000       12764.452       12764.452       12803.201       12803.201       15452.912       15452.912    
   2.9380000       12767.808       12767.808       12806.560       12806.560       15430.003       15430.003    
   2.9720000       12771.745       12771.745       12810.499       12810.499       15406.467       15406.467    
   3.0060000       12776.144       12776.144       12814.901       12814.901       15382.289       15382.289    
   3.0400000       12780.906       12780.906       12819.666       12819.666       15357.420       15357.420    
   3.0740000       12785.947       12785.947       12824.711       12824.711       15331.790       15331.790    
   3.1080000       12791.197       12791.197       12829.965       12829.965       15305.328       15305.328    
   3.1420000       12796.597       12796.597       12835.369       12835.369       15277.967       15277.967    
   3.1760000       12802.097       12802.097       12840.873       12840.873       15249.654       15249.654    
   3.2100000       12807.654       12807.654       12846.434       12846.434       15220.357       15220.357    
   3.2440000       12813.233       12813.233       12852.018       12852.018       15190.062       15190.062    
   3.2780000       12818.803       12818.803       12857.593       12857.593       15158.775       15158.775    
   3.3120000       12824.340       12824.340       12863.135       12863.135       15126.525       15126.525    
   3.3460000       12829.823       12829.823       12868.623       12868.623       15093.355       15093.355    
   3.3800000       12835.233       12835.233       12874.040       12874.040       15059.325       15059.325    
   3.4140000       12840.557       12840.557       12879.369       12879.369       15024.508       15024.508    
   3.4480000       12845.782       12845.782       12884.601       12884.601       14988.983       14988.983    
   3.4820000       12850.899       12850.899       12889.725       12889.725       14952.838       14952.838    
   3.5160000       12855.900       12855.900       12894.733       12894.733       14916.165       14916.165    
   3.5500000       12860.780       12860.780       12899.620       12899.620       14879.055       14879.055    
   3.5840000       12865.534       12865.534       12904.382       12904.382       14841.602       14841.602    
   3.6180000       12870.158       12870.158       12909.015       12909.015       14803.896       14803.896    
   3.6520000       12874.652       12874.652       12913.517       12913.517       14766.022       14766.022    
   3.6860000       12879.014       12879.014       12917.888       12917.888       14728.065       14728.065    
   3.7200000       12883.243       12883.243       12922.127       12922.127       14690.101       14690.101    
   3.7540000       12887.342       12887.342       12926.235       12926.235       14652.204       14652.204    
   3.7880000       12891.309       12891.309       12930.212       12930.212       14614.438       14614.438    
   3.8220000       12895.148       12895.148       12934.062       12934.062       14576.867       14576.867    
   3.8560000       12898.860       12898.860       12937.785       12937.785       14539.545       14539.545    
   3.8900000       12902.448       12902.448       12941.384       12941.384       14502.521       14502.521    
   3.9240000       12905.914       12905.914       12944.862       12944.862       14465.841       14465.841    
   3.9580000       12909.262       12909.262       12948.222       12948.222       14429.543       14429.543    
   3.9920000       12912.493       12912.493       12951.467       12951.467       14393.663       14393.663    
   4.0260000       12915.612       12915.612       12954.599       12954.599       14358.233       14358.233    
   4.0600000       12918.621       12918.621       12957.622       12957.622       14323.277       14323.277    
   4.0940000       12921.524       12921.524       12960.539       12960.539       14288.820       14288.820    
   4.1280000       12924.325       12924.325       12963.355       12963.355       14254.881       14254.881    
   4.1620000       12927.025       12927.025       12966.070       12966.070       14221.477       14221.477    
   4.1960000       12929.629       12929.629       12968.690       12968.690       14188.623       14188.623    
   4.2300000       12932.139       12932.139       12971.217       12971.217       14156.330       14156.330    
   4.2640000       12934.559       12934.559       12973.655       12973.655       14124.608       14124.608    
   4.2980000       12936.892       12936.892       12976.006       12976.006       14093.465       14093.465    
   4.3320000       12939.141       12939.141       12978.274       12978.274       14062.908       14062.908    
   4.3660000       12941.309       12941.309       12980.461       12980.461       14032.941       14032.941    
   4.4000000       12943.399       12943.399       12982.571       12982.571       14003.567       14003.567    
   4.4340000       12945.412       12945.412       12984.605       12984.605       13974.789       13974.789    
   4.4680000       12947.353       12947.353       12986.568       12986.568       13946.607       13946.607    
   4.5020000       12949.223       12949.223       12988.461       12988.461       13919.022       13919.022    
   4.5360000       12951.026       12951.026       12990.287       12990.287       13892.033       13892.033    
   4.5700000       12952.763       12952.763       12992.048       12992.048       13865.639       13865.639    
   4.6040000       12954.437       12954.437       12993.747       12993.747       13839.837       13839.837    
   4.6380000       12956.050       12956.050       12995.386       12995.386       13814.625       13814.625    
   4.6720000       12957.604       12957.604       12996.968       12996.968       13790.000       13790.000    
   4.7060000       12959.102       12959.102       12998.493       12998.493       13765.956       13765.956    
   4.7400000       12960.544       12960.544       12999.966       12999.966       13742.490       13742.490    
   4.7740000       12961.934       12961.934       13001.386       13001.386       13719.597       13719.597    
   4.8080000       12963.273       12963.273       13002.757       13002.757       13697.272       13697.272    
   4.8420000       12964.563       12964.563       13004.079       13004.079       13675.508       13675.508    
   4.8760000       12965.806       12965.806       13005.356       13005.356       13654.300       13654.300    
   4.9100000       12967.002       12967.002       13006.588       13006.588       13633.641       13633.641    
   4.9440000       12968.154       12968.154       13007.777       13007.777       13613.525       13613.525    
   4.9780000       12969.264       12969.264       13008.924       13008.924       13593.944       13593.944    
   5.0120000       12970.332       12970.332       13010.032       13010.032       13574.891       13574.891    
   5.0460000       12971.360       12971.360       13011.102       13011.102       13556.359       13556.359    
   5.0800000       12972.350       12972.350       13012.134       13012.134       13538.340       13538.340    
   5.1140000       12973.302       12973.302       13013.131       13013.131       13520.826       13520.826    
   5.1480000       12974.218       12974.218       13014.093       13014.093       13503.808       13503.808    
   5.1820000       12975.099       12975.099       13015.022       13015.022       13487.279       13487.279    
   5.2160000       12975.947       12975.947       13015.919       13015.919       13471.230       13471.230    
   5.2500000       12976.761       12976.761       13016.785       13016.785       13455.652       13455.652    
   5.2840000       12977.544       12977.544       13017.622       13017.622       13440.537       13440.537    
   5.3180000       12978.296       12978.296       13018.430       13018.430       13425.875       13425.875    
   5.3520000       12979.019       12979.019       13019.210       13019.210       13411.658       13411.658    
   5.3860000       12979.713       12979.713       13019.964       13019.964       13397.876       13397.876    
   5.4200000       12980.378       12980.378       13020.691       13020.691       13384.522       13384.522    
   5.4540000       12981.017       12981.017       13021.395       13021.395       13371.585       13371.585    
   5.4880000       12981.629       12981.629       13022.074       13022.074       13359.057       13359.057    
   5.5220000       12982.216       12982.216       13022.730       13022.730       13346.928       13346.928    
   5.5560000       12982.778       12982.778       13023.364       13023.364       13335.190       13335.190    
   5.5900000       12983.316       12983.316       13023.977       13023.977       13323.833       13323.833    
   5.6240000       12983.830       12983.830       13024.569       13024.569       13312.848       13312.848    
   5.6580000       12984.322       12984.322       13025.141       13025.141       13302.227       13302.227    
   5.6920000       12984.791       12984.791       13025.694       13025.694       13291.960       13291.960    
   5.7260000       12985.239       12985.239       13026.228       13026.228       13282.038       13282.038    
   5.7600000       12985.666       12985.666       13026.744       13026.744       13272.454       13272.454    
   5.7940000       12986.073       12986.073       13027.243       13027.243       13263.197       13263.197    
   5.8280000       12986.459       12986.459       13027.726       13027.726       13254.260       13254.260    
   5.8620000       12986.827       12986.827       13028.192       13028.192       13245.634       13245.634    
   5.8960000       12987.175       12987.175       13028.643       13028.643       13237.310       13237.310    
   5.9300000       12987.505       12987.505       13029.079       13029.079       13229.281       13229.281    
   5.9640000       12987.816       12987.816       13029.501       13029.501       13221.538       13221.538    
   5.9980000       12988.110       12988.110       13029.908       13029.908       13214.072       13214.072    
   6.0320000       12988.387       12988.387       13030.302       13030.302       13206.877       13206.877    
   6.0660000       12988.647       12988.647       13030.684       13030.684       13199.944       13199.944    
   6.1000000       12988.891       12988.891       13031.052       13031.052       13193.266       13193.266    
   6.1340000       12989.119       12989.119       13031.409       13031.409       13186.836       13186.836    
   6.1680000       12989.331       12989.331       13031.754       13031.754       13180.645       13180.645    
   6.2020000       12989.527       12989.527       13032.088       13032.088       13174.686       13174.686    
   6.2360000       12989.709       12989.709       13032.411       13032.411       13168.954       13168.954    
   6.2700000       12989.875       12989.875       13032.723       13032.723       13163.439       13163.439    
   6.3040000       12990.028       12990.028       13033.026       13033.026       13158.137       13158.137    
   6.3380000       12990.166       12990.166       13033.318       13033.318       13153.040       13153.040    
   6.3720000       12990.291       12990.291       13033.602       13033.602       13148.142       13148.142    
   6.4060000       12990.403       12990.403       13033.876       13033.876       13143.437       13143.437    
   6.4400000       12990.501       12990.501       13034.141       13034.141       13138.917       13138.917    
   6.4740000       12990.586       12990.586       13034.398       13034.398       13134.578       13134.578    
   6.5080000       12990.660       12990.660       13034.646       13034.646       13130.413       13130.413    
   6.5420000       12990.721       12990.721       13034.887       13034.887       13126.416       13126.416    
   6.5760000       12990.770       12990.770       13035.120       13035.120       13122.583       13122.583    
   6.6100000       12990.808       12990.808       13035.346       13035.346       13118.907       13118.907    
   6.6440000       12990.834       12990.834       13035.565       13035.565       13115.383       13115.383    
   6.6780000       12990.850       12990.850       13035.776       13035.776       13112.005       13112.005    
   6.7120000       12990.856       12990.856       13035.981       13035.981       13108.770       13108.770    
   6.7460000       12990.851       12990.851       13036.180       13036.180       13105.671       13105.671    
   6.7800000       12990.837       12990.837       13036.372       13036.372       13102.704       13102.704    
   6.8140000       12990.813       12990.813       13036.559       13036.559       13099.864       13099.864    
   6.8480000       12990.781       12990.781       13036.739       13036.739       13097.147       13097.147    
   6.8820000       12990.740       12990.740       13036.914       13036.914       13094.548       13094.548    
   6.9160000       12990.691       12990.691       13037.084       13037.084       13092.063       13092.063    
   6.9500000       12990.634       12990.634       13037.248       13037.248       13089.687       13089.687    
   6.9840000       12990.570       12990.570       13037.408       13037.408       13087.417       13087.417    
   7.0180000       12990.498       12990.498       13037.562       13037.562       13085.248       13085.248    
   7.0520000       12990.421       12990.421       13037.712       13037.712       13083.176       13083.176    
   7.0860000       12990.337       12990.337       13037.857       13037.857       13081.198       13081.198    
   7.1200000       12990.248       12990.248       13037.997       13037.997       13079.310       13079.310    
   7.1540000       12990.153       12990.153       13038.134       13038.134       13077.509       13077.509    
   7.1880000       12990.054       12990.054       13038.266       13038.266       13075.790       13075.790    
   7.2220000       12989.950       12989.950       13038.394       13038.394       13074.150       13074.150    
   7.2560000       12989.843       12989.843       13038.519       13038.519       13072.587       13072.587    
   7.2900000       12989.732       12989.732       13038.639       13038.639       13071.097       13071.097    
   7.3240000       12989.618       12989.618       13038.756       13038.756       13069.677       13069.677    
   7.3580000       12989.501       12989.501       13038.870       13038.870       13068.324       13068.324    
   7.3920000       12989.382       12989.382       13038.980       13038.980       13067.034       13067.034    
   7.4260000       12989.261       12989.261       13039.087       13039.087       13065.806       13065.806    
   7.4600000       12989.138       12989.138       13039.191       13039.191       13064.637       13064.637    
   7.4940000       12989.015       12989.015       13039.291       13039.291       13063.524       13063.524    
   7.5280000       12988.891       12988.891       13039.389       13039.389       13062.464       13062.464    
   7.5620000       12988.766       12988.766       13039.484       13039.484       13061.455       13061.455    
   7.5960000       12988.641       12988.641       13039.576       13039.576       13060.495       13060.495    
   7.6300000       12988.516       12988.516       13039.665       13039.665       13059.582       13059.582    
   7.6640000       12988.392       12988.392       13039.751       13039.751       13058.713       13058.713    
   7.6980000       12988.268       12988.268       13039.836       13039.836       13057.886       13057.886    
   7.7320000       12988.146       12988.146       13039.917       13039.917       13057.099       13057.099    
   7.7660000       12988.024       12988.024       13039.996       13039.996       13056.351       13056.351    
   7.8000000       12987.904       12987.904       13040.073       13040.073       13055.640       13055.640    
   7.8340000       12987.786       12987.786       13040.148       13040.148       13054.964       13054.964    
   7.8680000       12987.670       12987.670       13040.221       13040.221       13054.321       13054.321    
   7.9020000       12987.555       12987.555       13040.291       13040.291       13053.709       13053.709    
   7.9360000       12987.443       12987.443       13040.360       13040.360       13053.128       13053.128    
   7.9700000       12987.333       12987.333       13040.426       13040.426       13052.575       13052.575    
   8.0040000       12987.225       12987.225       13040.491       13040.491       13052.050       13052.050    
   8.0380000       12987.120       12987.120       13040.554       13040.554       13051.550       13051.550    
   8.0720000       12987.017       12987.017       13040.615       13040.615       13051.076       13051.076    
   8.1060000       12986.917       12986.917       13040.674       13040.674       13050.625       13050.625    
   8.1400000       12986.819       12986.819       13040.732       13040.732       13050.196       13050.196    
   8.1740000       12986.725       12986.725       13040.788       13040.788       13049.789       13049.789    
   8.2080000       12986.633       12986.633       13040.842       13040.842       13049.402       13049.402    
   8.2420000       12986.544       12986.544       13040.895       13040.895       13049.034       13049.034    
   8.2760000       12986.457       12986.457       13040.946       13040.946       13048.684       13048.684    
   8.3100000       12986.374       12986.374       13040.996       13040.996       13048.352       13048.352    
   8.3440000       12986.293       12986.293       13041.045       13041.045       13048.036       13048.036    
   8.3780000       12986.215       12986.215       13041.092       13041.092       13047.737       13047.737    
   8.4120000       12986.140       12986.140       13041.138       13041.138       13047.452       13047.452    
   8.4460000       12986.067       12986.067       13041.183       13041.183       13047.181       13047.181    
   8.4800000       12985.997       12985.997       13041.226       13041.226       13046.925       13046.925    
   8.5140000       12985.930       12985.930       13041.268       13041.268       13046.681       13046.681    
   8.5480000       12985.866       12985.866       13041.309       13041.309       13046.449       13046.449    
   8.5820000       12985.804       12985.804       13041.349       13041.349       13046.229       13046.229    
   8.6160000       12985.745       12985.745       13041.388       13041.388       13046.020       13046.020    
   8.6500000       12985.688       12985.688       13041.426       13041.426       13045.822       13045.822    
   8.6840000       12985.634       12985.634       13041.462       13041.462       13045.633       13045.633    
   8.7180000       12985.582       12985.582       13041.498       13041.498       13045.455       13045.455    
   8.7520000       12985.532       12985.532       13041.533       13041.533       13045.285       13045.285    
   8.7860000       12985.485       12985.485       13041.567       13041.567       13045.124       13045.124    
   8.8200000       12985.440       12985.440       13041.600       13041.600       13044.972       13044.972    
   8.8540000       12985.397       12985.397       13041.632       13041.632       13044.827       13044.827    
   8.8880000       12985.356       12985.356       13041.663       13041.663       13044.690       13044.690    
   8.9220000       12985.317       12985.317       13041.693       13041.693       13044.560       13044.560    
   8.9560000       12985.280       12985.280       13041.723       13041.723       13044.436       13044.436    
   8.9900000       12985.245       12985.245       13041.751       13041.751       13044.319       13044.319    
   9.0240000       12985.211       12985.211       13041.779       13041.779       13044.208       13044.208    
   9.0580000       12985.180       12985.180       13041.806       13041.806       13044.103       13044.103    
   9.0920000       12985.150       12985.150       13041.833       13041.833       13044.004       13044.004    
   9.1260000       12985.122       12985.122       13041.859       13041.859       13043.910       13043.910    
   9.1600000       12985.095       12985.095       13041.884       13041.884       13043.821       13043.821    
   9.1940000       12985.070       12985.070       13041.908       13041.908       13043.736       13043.736    
   9.2280000       12985.047       12985.047       13041.932       13041.932       13043.656       13043.656    
   9.2620000       12985.025       12985.025       13041.955       13041.955       13043.581       13043.581    
   9.2960000       12985.004       12985.004       13041.978       13041.978       13043.510       13043.510    
   9.3300000       12984.985       12984.985       13042.000       13042.000       13043.442       13043.442    
   9.3640000       12984.966       12984.966       13042.021       13042.021       13043.379       13043.379    
   9.3980000       12984.949       12984.949       13042.042       13042.042       13043.319       13043.319    
   9.4320000       12984.934       12984.934       13042.062       13042.062       13043.262       13043.262    
   9.4660000       12984.919       12984.919       13042.082       13042.082       13043.208       13043.208    
   9.5000000       12984.905       12984.905       13042.101       13042.101       13043.158       13043.158    
   9.5340000       12984.892       12984.892       13042.120       13042.120       13043.110       13043.110    
   9.5680000       12984.881       12984.881       13042.138       13042.138       13043.066       13043.066    
   9.6020000       12984.870       12984.870       13042.156       13042.156       13043.024       13043.024    
   9.6360000       12984.860       12984.860       13042.173       13042.173       13042.984       13042.984    
   9.6700000       12984.851       12984.851       13042.190       13042.190       13042.947       13042.947    
   9.7040000       12984.843       12984.843       13042.207       13042.207       13042.912       13042.912    
   9.7380000       12984.835       12984.835       13042.223       13042.223       13042.879       13042.879    
   9.7720000       12984.828       12984.828       13042.238       13042.238       13042.848       13042.848    
   9.8060000       12984.822       12984.822       13042.254       13042.254       13042.820       13042.820    
   9.8400000       12984.817       12984.817       13042.269       13042.269       13042.793       13042.793    
   9.8740000       12984.812       12984.812       13042.283       13042.283       13042.768       13042.768    
   9.9080000       12984.808       12984.808       13042.297       13042.297       13042.744       13042.744    
   9.9420000       12984.804       12984.804       13042.311       13042.311       13042.722       13042.722    
   9.9760000       12984.801       12984.801       13042.324       13042.324       13042.702       13042.702    
